Section,Content,Triggers
section 10,"section 10mm. Pockets may only be filled with a material having a 
specific gravity of less than 0.25. 
The following provisions apply to the skids. The lower surface of the plank may be fitted with 
flush mounted metal skids which: 
k. 
May only be fitted in place of plank material. 
l. 
Have a total area no greater than 24000mm² when viewed from below. 
m. Are no greater than 4000mm² in area individually when viewed from below. 
n. Are fitted in order that their entire lower surfaces are visible from below. 
o. Must have a minimum cross sectional thickness of 15mm across its external boundaries 
in plan view. 
2025 Formula 1 Technical Regulations 
20 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
The minimum wall thickness between an internal fixing hole and the external 
boundaries of the skid must be no less than 7.5mm. 
p. Must have an upper surface no more than 3mm below the reference plane. 
q.  Must be designed such that they are secured to th",['if required']
Article  13.6.1,"Article 
13.6.1 (a). 
g. 
Minimal apertures for front suspension members.",['Minimal']
3.6.2,"3.6.2 
Forward Chassis 
Bodywork declared as “Forward Chassis” must: 
a. 
Lie within RV-CH-FRONT and completely enclose RV-CH-FRONT-MIN.  
b. When considering both sides of the car, at any X plane, not contain any convex radius 
smaller than 25mm or a concave radius smaller than 200mm. 
Once these requirements have been met, minimal apertures may be applied for access to, 
and movement of mechanical components.",['minimal']
Article 3.1.4,"Article 3.1.4) smaller than 50mm. 
All other parts of this curve may contain no concave radius of curvature smaller 
than 200mm. 
ii. 
Assessed on any Y plane, whenever two such curves are visible when viewed from 
the front of the car, no part of either curve may have a concave radius of 
curvature smaller than 200mm. 
iii. Compliance with (i) and (ii) is not required within a single 50mm diameter sphere 
defined by the competitor. 
c. 
In any Z plane, any cross section of bodywork must form a single curve on its surface 
which must be tangent continuous and open.",['required']
Article 10.1.4,"Article 10.1.4, the aperture must enclose the suspension 
member, including its fairing, or driveshaft for parts forward of XR= -55. 
b. For the sole purpose of allowing cooling flow exits, apertures may be added provided 
they lie within RV-RBW-APERTURE. The total area (per side of the car) of such 
apertures may be no greater than 150,000mm2. Furthermore, any apertures added 
must be arranged such that, when viewed from above, no part of RS-RBW-APERTURE 
may be visible through the aperture and any underlying part of the car exposed by 
application of an aperture must lie no further than 50mm normal to the untrimmed 
surface. For the avoidance of doubt, no part of the car exposed by application of an 
aperture may lie external to the untrimmed surface. 
c. 
For the sole purpose of allowing cooling flow exits, apertures may be added inboard of 
Y= 25. The total area of such apertures may not be greater than 30,000mm2 per side of 
the car.  
d. For the sole purpose of cooling auxiliary ","['flow', 'flow']"
3.8.2,"3.8.2 
Exhaust Tailpipe 
Bodywork declared as “Exhaust Tailpipe” must: 
a. 
Lie within the union of RV-TAIL and RV-TAIL-EXH. 
2025 Formula 1 Technical Regulations 
25 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
Furthermore, when considering both sides of the car: 
b. Over its last 150mm, the Exhaust Tailpipe must comprise of a single tailpipe and its 
minimal supports. 
c. 
Over its last 450mm: 
i. 
The turbine tailpipe through which all the turbine exit fluids pass must have a 
circular internal cross-section of a constant diameter between 100mm and 
130mm. 
ii. 
Any wastegate tailpipe(s) through which all the wastegate exit fluids pass must 
have an internal cross section less than 1500mm2, and all external surfaces must 
have minimal aerodynamic effect on the external air stream. 
iii. The inside of the Exhaust Tailpipe must remain unobstructed and in full 
compliance with the provisions of this Article after the Final Assembly of all 
bodywork ","['minimal', 'minimal', 'Minimal', 'minimal']"
3.9.3,"3.9.3 
Front Wing Tip 
Bodywork declared as “Front Wing Tip” must: 
a. 
Lie within the RV-FW-TIP. 
b. Be a single volume with no apertures. 
Furthermore: 
c. 
The following must apply to the intersection between regions of the Front Wing Tip 
below Z=170 and any plane that contains the X-aligned axis [Y,Z] = [900, 170]: 
i. 
There must be no more than four closed sections. 
ii. 
No closed section may contain any concave radius of curvature less than 20mm. 
iii. The distance between adjacent sections must be no more than 15mm at their 
closest position. 
iv. For any two adjacent sections, the trailing edge of the forward section must be at 
a greater distance from the X-aligned axis than the leading edge of the rear 
section. 
2025 Formula 1 Technical Regulations 
27 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
v. 
When measured in the X-direction, each section must be larger than 50mm and 
no more than 30mm of this may overlap, in X, any other secti",['required']
Article 3.9.1,"Article 3.9.1.g, and the maximum deviation for any point of these profiles from its 
original position must not exceed 40mm. Physical stops must be provided to prevent 
the FW Flap from being adjusted beyond these limits. 
e. 
Minimal exceptions to the geometrical criteria of",['Minimal']
Article 3.9.1,"Article 3.9.1 for the wing profiles may 
be made in the junction between the adjustable and non-adjustable parts, in order to 
ensure the necessary level of sealing. Such parts must lie within 3mm from one of the 
two surfaces of revolution and their maximum size must be the minimum necessary 
amount required to achieve a 20mm overlap between the adjustable and the 
non-adjustable parts of the profiles over the whole range of movement In the case 
where the trailing edge of the rearmost element is trimmed, any such parts with 
minimal exceptions can remain untrimmed, provided that the remaining parts extend 
no more than 20mm behind the trimmed trailing edge. 
For the avoidance of doubt, the adjustment permitted under this Article is only allowed when 
the car is stationary and by the use of a tool, and in accordance with the Sporting 
Regulations. 
Furthermore, any such variation of incidence must maintain compliance with all of the 
bodywork regulations, with the exception of","['required', 'minimal']"
3.10.1,"3.10.1 Rear Wing Profiles 
Bodywork declared as “Rear Wing Profiles” must: 
a. 
Lie within RV-RW-PROFILES. 
b. In any Y plane: 
i. 
Contain exactly two sections. 
ii. 
The rearmost section, which will be known as the “RW Flap”, must have a chord 
smaller than the chord of the adjacent section. 
iii. With the exception of minimal modifications to permit attachment of the actuator 
system described in 3.10.10 to the RW Flap, the sections may not contain any 
concave radius of curvature smaller than 100mm 
Furthermore: 
c. 
At all points along the span, the rear wing profiles (as defined under",['minimal']
3.10.5,"3.10.5 Rear Wing Tip 
Bodywork declared as “Rear Wing Tip” must: 
a. 
Lie within the RV-RW-TIP. 
b. Be a single volume with no apertures. 
Furthermore: 
c. 
The following must apply to the intersection between regions of the Rear Wing Tip 
above Z=670 and any plane that contains the X-aligned axis [Y, Z] = [480, 670] 
i. 
There must be no more than two closed sections. 
2025 Formula 1 Technical Regulations 
32 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
ii. 
The distance between adjacent sections must be no more than 15mm at their 
closest position. 
iii. When measured in the X-direction, each individual section must be larger than 
100mm and no more than 40mm of the complete intersection may contain more 
than two points with the same X-coordinate. 
d. The intersection between the Rear Wing Tip and any Z plane between Z=660mm and Z= 
670mm must produce a single closed section. 
e. 
Its complete surface must be tangent continuous, and any concave r","['required', 'required']"
Article 3.10.10,"Article 3.10.10. They must: 
a. 
With the exception of minimal local changes where the two sections are adjacent to 
each other and with the rearmost element in the closed position, have an inner profile 
that is coincident to the section they are fixed to, an outer profile that is an offset of the 
inner profile of no more than 15mm and may not incorporate any radius smaller than 
10mm in sideview (‘gurney’ type trim tabs may however be fitted between the 
supports). 
b. Be aligned as a pair so as to provide a bearing across at least 40mm2 when the distance 
between the two sections is at its closest position. 
c. 
Not be recessed into the Rear Wing Profiles or Rear Wing Tip (where a recess is defined 
as a reduction in section at a rate greater than 45° with respect to the Y-axis). 
2025 Formula 1 Technical Regulations 
33 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
d. Be arranged so that any curvature occurs only in a horizontal plane (other tha",['minimal']
Article 3.10.1,"Article 3.10.1) must have a minimum 
gap of between 9.4mm and 85mm. This will be measured with a spherical gauge. 
In order to achieve the above adjustment, the actuator mechanism and any associated 
minimal fairings must lie inboard of Y=25, below Z=940 and not extend beyond 
RV-RW-PROFILES in the forward or rearward direction, when viewed from above. 
Furthermore, any additional minimal bodywork associated with the adjustment of the DRS 
Bodywork must be located outboard of Y= 465 and in side-view be below the top surface of 
RV-RW-PROFILES, must not be visible from below and must fit within a cuboid which is 
30mm wide, 60mm long and 30mm high. This cuboid may have a free orientation in space, 
but its width must be aligned with the axis of rotation of the RW flap.","['minimal', 'minimal']"
3.12.5,"3.12.5 A slip sensor and its minimal fairings may be mounted underneath the Forward Chassis 
provided it lies entirely within 25mm of the car centre plane, above Z=120 and in the region 
50 < XF < 450. The external surface of the combined slip sensor and fairings must form a 
single curve when intersected by any Z plane. 
2025 Formula 1 Technical Regulations 
36 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2",['minimal']
3.13.1,"3.13.1 General principles 
Geometry declared as “Front Wheel Bodywork” and “Rear Wheel Bodywork” must comprise 
of all the components described in Articles 3.13.2 to 3.13.7. 
When referred to individually, these components will have the words “Front” or “Rear” 
added to the component name. 
Any criteria of visibility will assume that the sprung mass, the suspension, the RS-FWH-DRUM 
assembly, the drum to wheel seals and the complete wheels have been removed, and will be 
considered in the orthogonal frame of reference of the wheel (XW, YW, ZW). 
With the exception of the Wheel Covers and minimal flexible parts for the sole purpose of 
allowing an aerodynamic seal to be maintained to the suspension members and wheels, the 
Wheel Bodywork must:  
 
a. 
Be rigid and rigidly secured to the suspension uprights (rigidly secured means not 
having any degree of freedom). 
b. Not be rigidly secured to the suspension members.",['minimal']
3.13.2,"3.13.2 
Drum 
The Front and Rear Drums must be made respectively to the geometry defined by 
RS-FWH-DRUM and RS-RWH-DRUM. 
For each drum, a circumferential, continuous (around an arc of 360°), and uniform 
aerodynamic seal must be fitted in the outboard of the two annotated volumes, in order to 
prevent any significant aerodynamic or heat transfer flow between the drum and the axle. 
An optional aerodynamic seal may be fitted in the inboard of the two annotated volumes 
between the drum and the wheel rim. If fitted, this seal must be circumferential, continuous 
(around an arc of 360°), and uniform.  
Notwithstanding this specification, the following modifications will be permitted inboard of 
YW= -5: 
a. 
Apertures where suspension members or suspension fairings intersect the surface of 
the Drum. These apertures must be minimal in size in order to permit the full 
articulation of the suspension system (and for the front, also the steering system). 
Furthermore, they must be internall","['minimal', 'flow', 'flow']"
3.13.3,"3.13.3 Scoop 
The Front and Rear Scoop must lie within RV-FWH-SCO and RV-RWH-SCO respectively. 
Any part of the Scoop which is in contact with the external air stream must be tangent 
continuous and be fully visible when viewed parallel to the YW axis from inboard. These 
criteria will be assessed prior to the addition of apertures detailed in (c), (d) and (g).  
Furthermore, with the exception of any Rear Scoop surfaces rearward of XW=0, the Scoop 
must satisfy the following criteria:  
a. 
For the parts of the Scoop’s surfaces that are visible when viewed parallel to the YW axis 
from inboard, the radius of curvature must be greater than 20mm. 
2025 Formula 1 Technical Regulations 
37 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
b. Any intersection with a YW plane must produce only, a single closed section for the 
Front Scoop, and a single section for the Rear Scoop. 
Once the Front and Rear Scoop have been defined, they must be trimmed to RS-FWH","['minimal', 'minimal', 'flow', 'flow']"
3.13.5,"3.13.5 
Front Drum Deflector 
The Front Drum Deflector must be made to the geometry defined by RS-FWH-DEFL. 
In order to adapt the component of the Front Drum Deflector forward of XW= -30 to the local 
flow conditions, a +/-6° tolerance in its incidence will be accepted. Any such rotation must be 
made about a ZW-aligned axis through the point [XW= -260, YW= -10]. 
The parts of the permitted component above and below Zw= -110 may be adjusted as 
separate rigid bodies, by different amounts. To allow the parts of the resultant Front Drum 
Deflector to blend smoothly into one another, the angle of adjustment may vary within the 
regions between ZW= -110 and ZW= -70 and between ZW=110 and ZW=150. Within each of 
these two regions, the angle of adjustment must vary monotonically along ZW. The final 
surfaces must maintain both continuity and tangency across all boundaries of these regions. 
At ZW=150 continuity and tangency must be maintained to the Front Drum. 
Bodywork may be added to fur","['flow', 'flow', 'flow']"
3.13.6,"3.13.6 
Rear Drum Deflector 
The Rear Drum Deflector must be made to the geometry defined by RS-RWH-DEFL, with the 
exception of surfaces below the annotated curve “TRIM LINE” in RS-RWH-DEFL which may be 
trimmed.  The part of the resulting trimmed Rear Drum Deflector below the annotated curve 
“SINGLE SECTION LINE” in RS-RWH-DEFL must produce only a single section when intersected 
with any ZW or XW plane. 
In order to adapt the Rear Drum Deflector to the local flow conditions, a +/-10mm tolerance 
in its ZW position and a +/-5° tolerance in its incidence about the annotated axis in 
RS-RWH-DEFL will be accepted. Any translation in ZW includes the rotation axis and is applied 
before the rotation. 
Once the Drum deflector has been positioned and adjusted in accordance with its 
specification, it must be trimmed to the Rear Drum and a maximum fillet radius, no greater 
than 5mm, may be applied along the intersections between these surfaces.",['flow']
Article 10.3.6,"Article 10.3.6, with 
the exception of those of circular cross section. 
Each suspension fairing must: 
a. 
Fully cover the suspension member it corresponds to and any other components 
supported on it, such as hydraulic brake lines, electrical wiring and wheel tethers (all of 
which must be supported on a suspension member), over the span exposed to the 
external air stream. 
b. Be rigid and rigidly secured to the suspension member (rigidly secured means not 
having any degree of freedom). 
2025 Formula 1 Technical Regulations 
40 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
Minimal deformation will nonetheless be accepted for suspension conforming to",['Minimal']
Article  10.3.3,"Article 
10.3.3. In such cases, any shared cover sections may deform or articulate a minimal 
amount to accommodate nominal misalignment of the relevant suspension members 
through the suspension travel range.  
Furthermore, the surface bounded by the external cross-sections of each suspension fairing, 
when taken normal to the load line defined in","['minimal', 'deform']"
3.14.2,"3.14.2 Fairings of suspension members which share an attachment point will be considered by a 
virtual dissection into discrete components. Such fairings will be allowed local minimal 
exceptions to",['minimal']
Article 3.14.1,"Article 3.14.1 (d), (g) and (h) close to the junction of the suspension members, 
including minimal cut outs to allow the passage of a suspension member connected inboard 
to the rockers defined in",['minimal']
3.14.4,"3.14.4 In order to permit suspension travel while maintaining an aerodynamic seal, minimal flexible 
components may be fitted between the Suspension Fairings and the following components: 
a. 
The Front Bodywork defined in",['minimal']
Article 10.4.1,"Article 10.4.1. 
With the car at its legality ride height, these flexible components must: 
f. 
Contain a fillet radius of up to 30mm between the components they are sealing. 
g. 
Other than the fillet radius described above, conform with the shape restrictions of 
either of the two components they are sealing to each other. For clarity, parts of these 
components may be replaced with the flexible component. 
2025 Formula 1 Technical Regulations 
41 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
h. Be designed in such way as to maintain their shape integrity with the car in motion, and 
as much as possible, with the suspension at another position than that of the Legality 
Ride Height. 
Minimal exceptions to (f) and (g) are permitted between the Suspension Fairings and the 
Front Wheel Bodywork and between the Fairing of the Front Trackrod and the Front 
Bodywork. These exceptions are for the sole purpose of introducing a pleat into the flexible 
comp",['Minimal']
3.15.8,"3.15.8 
Central Floor Flexibility 
a. 
Bodywork within RV-PLANK may deflect no more than 2mm at the two holes in the 
plank at XF=1080 and no more than 2mm at the rearmost hole, when the car, without 
driver, is supported at these positions. The car will be supported on 70mm diameter 
pads, centred on the holes, and only in contact with the underside of the plank 
assembly. The displacement will be measured at the supports, relative to the reference 
plane at the centre of each hole.  
Furthermore, the stiffness for any deflection exceeding that defined in the previous 
paragraph must be no less than 15kN/mm. 
Competitors will be required to demonstrate the local vertical stiffness and design 
installation of the skids and plank to the FIA for the regions around the periphery of 
each of these three holes. Compliance with",['required']
Article 3.5.9,"Article 3.5.9.e. will only be assessed in the 
regions that are at least 90% as stiff as the stiffest part of the periphery. Any designs 
intended to protect these regions of the periphery from wear will not be accepted. 
Competitors will be required to demonstrate compliance with these provisions by way 
of a detailed inspection of both the CAD and the physical installation, as well as Finite 
Element analysis. 
b. Bodywork on the reference plane may deflect no more than 0.2mm when the car, 
without driver, is supported at the two holes in the plank at XF=1080 and at the 
rearmost hole in the plank. The car will be supported on 40mm diameter pads, centred 
on the holes, and only contacting the bodywork on the reference plane. For the two 
holes at XF=1080 the displacement will be measured at the supports, relative to the 
survival cell datum points detailed in",['required']
Article 3.5.7,"Article 3.5.7 (c) and associated fasteners. No 
bracket may have a mass greater than 0.1kg. 
g. 
Wires or rods of 2mm diameter or less, and brackets of the minimal dimensions 
required for the purpose of holding these in place. 
h. Metallic components added for wear protection provided that: 
i. 
No component has a mass of more than 0.03kg 
2025 Formula 1 Technical Regulations 
46 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
ii. 
Adjacent components are neither bonded nor mechanically fastened to either 
each other or the floor edge wing support brackets described in","['minimal', 'required']"
Article 4.7,"Article 4.7), at any time during the Competition. 
If, when required for checking, a car is not already fitted with dry-weather tyres, its mass will 
be determined using a set of dry-weather tyres selected by the FIA technical delegate.",['required']
0.5,"0.5kg. 
If, when required for checking, a car is not already fitted with dry-weather tyres, its mass will 
be determined using a set of dry-weather tyres selected by the FIA technical delegate. 
If, when required for checking, a Heat Hazard has been declared, the increase in mass will not 
be considered.","['required', 'required']"
4.4,"4.4 
Ballast 
Ballast can be used provided it is secured in such a way that tools are required for its removal 
and that it remains immobile with respect to the sprung mass in its entirety. It must be 
possible to fix seals if deemed necessary by the FIA technical delegate. 
Competitors must show by calculation that the any ballast fitted within the cockpit would be 
retained in place if any one of its fixings were removed and it were subjected to a 100g 
acceleration in any direction. 
Ballast designated for the purpose of achieving the driver mass specified in",['required']
5.1.8,"5.1.8 
Energy Store (ES) 
The part of ERS that stores energy, including its safety control electronics and a minimal 
housing.",['minimal']
5.1.13,"5.1.13 High pressure Fuel pump 
A mechanical device whose sole function is to pressurise the fuel to the pressure required for 
the high-pressure injection. It may be electronically controlled. 
2025 Formula 1 Technical Regulations 
50 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2",['required']
5.1.14,"5.1.14 
Fuel Flow meter 
A sensor whose function is to measure the flow of the fuel passing through it.","['Flow', 'flow']"
5.2.3,"5.2.3 
Fuel mass flow must not exceed 100kg/h.",['flow']
5.2.4,"5.2.4 
Below 10500rpm the fuel mass flow must not exceed Q (kg/h) = 0.009 N(rpm)+ 5.5.",['flow']
5.2.5,"5.2.5 
At partial load, the fuel mass flow must not exceed the limit curve defined below: 
- Q (kg/h) = 10 when the engine power is below -50kW 
- Q (kg/h) = 0.257 x engine power (kW) + 22.85 when the engine power is above -50kW",['flow']
5.3.2,"5.3.2 
Energy flows, power and ES state of charge limits are defined in the energy flow diagram 
shown below: 
 
2025 Formula 1 Technical Regulations 
54 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
When the car is on the track a lap will be measured on each successive crossing of the timing 
line, however, when entering the pits the lap will end, and the next one will begin, at the start 
of the pit lane (as defined in the Sporting Regulations). 
In order to verify that the energy and power requirements are being respected, all cars must 
be fitted with electrical DC sensors which have been manufactured and calibrated by the FIA 
designated suppliers to specifications determined by the FIA. These sensors may only be 
installed outside the sealed perimeter of any PU-CE and used as specified below: 
a. 
One sensor must be connected to the ES negative DC pole to measure all electrical 
energy into and out of the energy store. 
The voltage sense wire m","['flow', 'flow']"
5.7.2,"5.7.2 
Teams may be required to demonstrate the accuracy of the power unit configurations used 
by the FIA Standard ECU.",['required']
5.9.3,"5.9.3  
The total fluid mass flow passing through the exhaust tailpipe defined in",['flow']
Article 3.8.2,"Article 3.8.2.b may 
only exceed 1000kg/h when the sum of the intake air demand and the quantity of fuel 
injected exceeds this value, “intake air demand” being the intake air mass flow strictly 
necessary for the combustion to achieve the torque demand under the specified conditions.",['flow']
5.11.3,"5.11.3 All cars must be fitted with two fuel flow meters, wholly within the fuel tank, which have 
been manufactured and calibrated by the FIA designated suppliers to specifications 
determined by the FIA. These sensors may only be installed and used as specified by the FIA 
Technical Department. Furthermore, all fuel delivered to the power unit must pass through 
these homologated sensors, and must all be delivered to the combustion chambers by the 
fuel injectors described by",['flow']
5.11.5,"5.11.5 Any device, system or procedure the purpose and/or effect of which is to increase the flow 
rate or to store and recycle fuel after the measurement point is prohibited. Additional 
measurements in each sub-circuit of the fuel system may be requested in order to check 
compliance. When fuel flow rate is above 90 kg/h, fuel pressures must remain constant in 
each sub-circuit.","['flow', 'flow']"
5.13.1,"5.13.1 The system will be considered shut down when no high voltage can be present on any 
external or accessible part of the ERS, or across any capacitor belonging to the MGU control 
units. 
It must be possible to shut down the ERS via the following means : 
a. 
The switch required by",['required']
Article 8.8.1,"Article 8.8.1. 
b. The switches required by",['required']
Article 8.8.2,"Article 8.8.2. 
c. 
The switch or button required by",['required']
5.14.1,"5.14.1 Unless specified otherwise, ancillaries may be mechanically or electrically driven. Any 
electrically driven ancillary cannot be linked mechanically to any drivetrain, including the 
Power Unit. Ancillaries cannot be used to propel the car.  
With the exception of batteries of less than 100 kJ total capacity used for safety and control 
purposes during ERS start-up and shut-down operations, which must be prevented from 
supplying energy under normal ERS operation; electrical energy may not flow from any 
ancillary in the direction of any DC pole of the ERS high voltage DC bus. This must be 
guaranteed by design and verifiable by inspection. 
A diode must be fitted, in series, at the DC-DC converter positive pole to ensure that electrical 
energy cannot flow from the DC-DC converter into the ES.","['flow', 'flow']"
5.19.1,"5.19.1 
All components of the power unit exhaust system, (from the cylinder head up to and 
including turbine housing or waste-gate exit housing) that are in contact with the main 
exhaust gas flow must be manufactured from a Cobalt, Iron or Nickel based alloy. Any gaskets 
or seals are excluded from this restriction.",['flow']
5.25.5,"5.25.5 To mitigate the risk failure mode where a high voltage is AC coupled onto the car’s low 
voltage system, bonding is required for any system component to which a wire, cable or 
harness connects, or passes in close proximity, and which is able to conduct current by means 
of AC coupling.  
The bonding must protect against short circuit currents generated by an insulation failure and 
low currents generated by capacitive coupling. It can be achieved using wires or conductive 
parts of an appropriate dimension. 
Any components that require equipotential bonding will be connected to the car main 
ground and the resistance of potential equalization paths must not exceed 5.0 Ω. 
In addition, the resistance measured between any two exposed conductive parts of the high 
voltage system must not exceed 0.1 Ω. 
2025 Formula 1 Technical Regulations 
66 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2",['required']
6.2.3,"6.2.3 
All fuel lines between the fuel tank and the engine must have a self-sealing breakaway valve. 
This valve must separate at less than 50% of the load required to break the fuel line fitting or 
to pull it out of the fuel tank.",['required']
6.4.2,"6.4.2 
The fuel in a car must not be colder than the lowest of: ten degrees centigrade below 
ambient temperature, or ten degrees centigrade, at any time when the car is running after 
leaving the Competitor's designated garage area.  
When assessing compliance: 
a. 
The ambient temperature will be that recorded by the FIA appointed weather service 
provider one hour before any practice session or three hours before the race or sprint 
session. and will be displayed on the timing monitors. 
b. The temperature of the fuel (TFFMFuel) will be that recorded in the car by the primary 
Fuel Flow Meter, referred to as the “Team FFM”.",['Flow']
6.5.2,"6.5.2 
Competitors must ensure that a 1.0 litre sample of fuel may be taken from the car at any time 
during the Competition. 
After a practice session, sprint session, and race, if a car has not been driven back to the pits 
under its own power, it will be required to supply the above mentioned sample plus the 
amount of fuel that would have been consumed to drive back to the pits. The additional 
amount of fuel will be determined by the FIA.",['required']
6.6.2,"6.6.2 
The primer pump(s), high pressure pump, fuel flow meters and pressure and temperature 
sensors are SSC, as mandated by the FIA and specified in the",['flow']
Appendix  t,"Appendix 
to the Technical and Sporting Regulations. The total length of flexible hose in the system 
between the primer pump(s) and the Breakaway Valve must not exceed 1000mm. The total 
length of flexible hose in the system between the Breakaway valve and the High Pressure Fuel 
Pump must not exceed 500mm. Rigid pipes and manifolds and their fittings may be used 
instead of flexible pipes and hoses up to the inlet of the FIA fuel Flow Meter.",['Flow']
